Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Josh Green,CHA,ORL,3.5,-142,116,1
Cody Martin,CHA,ORL,4.5,-118,-104,1
Taj Gibson,CHA,ORL,3.5,-118,-104,1
Kentavious Caldwell-Pope,ORL,CHA,2.5,-128,104,0
Franz Wagner,ORL,CHA,6.5,114,-140,0
Brandon Miller,CHA,ORL,5.5,114,-140,1
LaMelo Ball,CHA,ORL,5.5,-110,-110,1
Jonathan Isaac,ORL,CHA,6.5,-105,-115,0
Moe Wagner,ORL,CHA,5.5,114,-140,0
Anthony Black,ORL,CHA,3.5,-104,-118,0
Tidjane Salaun,CHA,ORL,5.5,104,-128,1
Goga Bitadze,ORL,CHA,7.5,-144,118,0
Chris Boucher,TOR,DET,4.5,-118,-104,0
R.J. Barrett,TOR,DET,5.5,-110,-110,0
Isaiah Stewart II,DET,TOR,5.5,-144,118,1
Jakob Poeltl,TOR,DET,10.5,-118,-104,0
Jalen Duren,DET,TOR,11.5,114,-140,1
Tobias Harris,DET,TOR,6.5,-134,110,1
Scottie Barnes,TOR,DET,6.5,-130,106,0
Jaden Ivey,DET,TOR,3.5,-140,112,1
Myles Turner,IND,NOP,7.5,-114,-106,1
Javonte Green,NOP,IND,4.5,-114,-106,0
C.J. McCollum,NOP,IND,3.5,126,-154,0
Bennedict Mathurin,IND,NOP,6.5,118,-144,1
Yves Missi,NOP,IND,6.5,100,-122,0
Pascal Siakam,IND,NOP,6.5,-148,120,1
T.J. McConnell,IND,NOP,2.5,-128,104,1
Tyrese Haliburton,IND,NOP,3.5,-102,-120,1
Trey Murphy III,NOP,IND,5.5,122,-150,0
Dyson Daniels,ATL,DAL,4.5,-154,126,1
Jalen Johnson,ATL,DAL,9.5,100,-122,1
Clint Capela,ATL,DAL,9.5,-110,-110,1
Bogdan Bogdanovic,ATL,DAL,2.5,-134,110,1
Trae Young,ATL,DAL,3.5,132,-162,1
Kyrie Irving,DAL,ATL,4.5,112,-138,0
Zaccharie Risacher,ATL,DAL,3.5,132,-162,1
Onyeka Okongwu,ATL,DAL,6.5,112,-138,1
P.J. Washington,DAL,ATL,7.5,-115,-105,0
Derrick Jones,LAC,BOS,3.5,104,-128,0
James Harden,LAC,BOS,5.5,-122,100,0
Kris Dunn,LAC,BOS,3.5,-110,-110,0
Jrue Holiday,BOS,LAC,3.5,-148,120,1
Kevin Porter Jr.,LAC,BOS,3.5,110,-134,0
Jaylen Brown,BOS,LAC,5.5,118,-144,1
Ivica Zubac,LAC,BOS,11.5,-105,-115,0
Amir Coffey,LAC,BOS,2.5,-148,120,0
Jayson Tatum,BOS,LAC,7.5,-142,116,1
Derrick White,BOS,LAC,4.5,136,-168,1
Kristaps Porzingis,BOS,LAC,4.5,102,-124,1
Terance Mann,LAC,BOS,3.5,-102,-120,0
Jerami Grant,POR,MEM,3.5,-114,-106,0
Shaedon Sharpe,POR,MEM,4.5,102,-124,0
Anfernee Simons,POR,MEM,2.5,-148,120,0
Toumani Camara,POR,MEM,5.5,112,-138,0
Desmond Bane,MEM,POR,4.5,-144,118,1
Jaren Jackson Jr.,MEM,POR,6.5,112,-138,1
Ja Morant,MEM,POR,4.5,-118,-104,1
Christian Braun,DEN,NYK,4.5,106,-130,1
OG Anunoby,NYK,DEN,5.5,104,-128,0
Russell Westbrook,DEN,NYK,4.5,118,-144,1
Jamal Murray,DEN,NYK,3.5,-132,108,1
Josh Hart,NYK,DEN,9.5,114,-140,0
Jalen Brunson,NYK,DEN,3.5,118,-144,0
Peyton Watson,DEN,NYK,4.5,-110,-110,1
Karl-Anthony Towns,NYK,DEN,11.5,104,-128,0
Michael Porter Jr.,DEN,NYK,6.5,116,-142,1
Mikal Bridges,NYK,DEN,4.5,116,-142,0
Nikola Jokic,DEN,NYK,12.5,112,-138,1
Andrew Wiggins,GSW,BKN,4.5,106,-130,1
Cam Thomas,BKN,GSW,3.5,-130,106,0
Draymond Green,GSW,BKN,6.5,-114,-106,1
Cameron Johnson,BKN,GSW,4.5,-150,122,0
Trayce Jackson-Davis,GSW,BKN,5.5,104,-128,1
Stephen Curry,GSW,BKN,4.5,-110,-110,1
Shai Gilgeous-Alexander,OKC,SAC,5.5,114,-140,0
De'Aaron Fox,SAC,OKC,4.5,-140,114,1
Luguentz Dort,OKC,SAC,4.5,-110,-110,0
Jalen Williams,OKC,SAC,5.5,-144,118,0
Domantas Sabonis,SAC,OKC,12.5,-130,106,1
Kevin Huerter,SAC,OKC,3.5,-128,104,1
DeMar DeRozan,SAC,OKC,3.5,-154,126,1
Keegan Murray,SAC,OKC,6.5,-144,116,1
