Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result,Max Edge,Edge CDF,Implied Probability Over,Implied Probability Under,Bet Over,Bet Under
2024-11-30,CONSENSUS PICK,LaMelo Ball,4.027386473432876,6.5,2.837876382540085,19.18%,80.82%,45.87%,60.00%,-0.2669177022287327,0.2082021058984574,,0.2082021058984574,41,0.4587,0.6,1.1800000000000002,0.6699999999999999
2024-11-30,CONSENSUS PICK,Devin Booker,4.960367996087556,3.5,2.837876382540085,69.66%,30.34%,56.90%,49.02%,0.1276178073275927,-0.1867794030003446,,0.1276178073275927,55,0.569,0.4902,0.76,1.04
2024-11-30,CONSENSUS PICK,Brandon Miller,4.231447998527933,5.5,2.837876382540085,32.74%,67.26%,50.98%,54.95%,-0.1823690959537517,0.1230156248355747,,0.1230156248355747,60,0.5097999999999999,0.5495,0.96,0.8200000000000001
2024-11-30,CONSENSUS PICK,Kyrie Irving,5.036093313293079,4.5,2.837876382540085,57.49%,42.51%,46.73%,59.35%,0.1076272333997422,-0.1684128879852601,,0.1076272333997422,69,0.4673,0.5935,1.1400000000000001,0.6799999999999999
2024-11-30,CONSENSUS PICK,Bilal Coulibaly,4.065593124921016,5.5,2.837876382540085,30.66%,69.34%,46.30%,59.68%,-0.1563418381573899,0.0966046816460398,,0.0966046816460398,77,0.46299999999999997,0.5968,1.1600000000000001,0.6799999999999999
2024-11-30,CONSENSUS PICK,Stephen Curry,5.466040485025155,4.5,2.837876382540085,63.32%,36.68%,54.95%,50.98%,0.0836764213900421,-0.1430298925082192,,0.0836764213900421,81,0.5495,0.5097999999999999,0.8200000000000001,0.96
2024-11-30,CONSENSUS PICK,Quentin Grimes,2.5918329810160503,3.5,2.837876382540085,37.45%,62.55%,50.50%,55.56%,-0.1304725505849814,0.0699664999799208,,0.0699664999799208,90,0.505,0.5556,0.98,0.8
2024-11-30,CONSENSUS PICK,Kevin Durant,6.943424749237958,6.5,2.837876382540085,56.21%,43.79%,49.50%,56.52%,0.0670334234791235,-0.1273003197339663,,0.0670334234791235,92,0.495,0.5652,1.02,0.77
2024-11-30,CONSENSUS PICK,Caleb Martin,3.9611583279693,4.5,2.837876382540085,42.47%,57.53%,54.55%,51.46%,-0.1207509892120719,0.06073333696141,,0.06073333696141,95,0.5455,0.5146000000000001,0.8300000000000001,0.94
2024-11-30,CONSENSUS PICK,Malcolm Brogdon,3.6156966348341104,3.5,2.837876382540085,51.63%,48.37%,45.87%,60.00%,0.0575442720789433,-0.1162598684092185,,0.0575442720789433,97,0.4587,0.6,1.1800000000000002,0.6699999999999999
