Player,Team
Precious Achiuwa,New York Knicks
Steven Adams,Houston Rockets
Bam Adebayo,Miami Heat
Ochai Agbaji,Toronto Raptors
Santi Aldama,Memphis Grizzlies
Trey Alexander,Denver Nuggets
Nickeil Alexander-Walker,Minnesota Timberwolves
Grayson Allen,Phoenix Suns
Jarrett Allen,Cleveland Cavaliers
Jose Alvarado,New Orleans Pelicans
Kyle Anderson,Golden State Warriors
Giannis Antetokounmpo,Milwaukee Bucks
Cole Anthony,Orlando Magic
OG Anunoby,New York Knicks
Deni Avdija,Portland Trail Blazers
Deandre Ayton,Portland Trail Blazers
Marvin Bagley III,Washington Wizards
Patrick Baldwin Jr.,Washington Wizards
LaMelo Ball,Charlotte Hornets
Lonzo Ball,Chicago Bulls
Mohamed Bamba,Los Angeles Clippers
Paolo Banchero,Orlando Magic
Desmond Bane,Memphis Grizzlies
Dalano Banton,Portland Trail Blazers
Dominick Barlow,Atlanta Hawks
Harrison Barnes,San Antonio Spurs
Scottie Barnes,Toronto Raptors
R.J. Barrett,Toronto Raptors
Charles Bassey,San Antonio Spurs
Emoni Bates,Cleveland Cavaliers
Jamison Battle,Toronto Raptors
Nicolas Batum,Los Angeles Clippers
Bradley Beal,Phoenix Suns
Malik Beasley,Detroit Pistons
MarJon Beauchamp,Milwaukee Bucks
Reece Beekman,Golden State Warriors
Saddiq Bey,Washington Wizards
Goga Bitadze,Orlando Magic
Anthony Black,Orlando Magic
Bogdan Bogdanovic,Atlanta Hawks
Bojan Bogdanovic,Brooklyn Nets
Bol Bol,Phoenix Suns
Adem Bona,Philadelphia Sixers
Devin Booker,Phoenix Suns
B.J. Boston Jr.,New Orleans Pelicans
Chris Boucher,Toronto Raptors
Malaki Branham,San Antonio Spurs
Christian Braun,Denver Nuggets
Jalen Bridges,Phoenix Suns
Mikal Bridges,New York Knicks
Miles Bridges,Charlotte Hornets
Malcolm Brogdon,Washington Wizards
Dillon Brooks,Houston Rockets
Jaylen Brown,Boston Celtics
Bruce Brown Jr.,Toronto Raptors
Kobe Brown,Los Angeles Clippers
Jalen Brunson,New York Knicks
Thomas Bryant,Miami Heat
Kobe Bufkin,Atlanta Hawks
Alec Burks,Miami Heat
Jared Butler,Washington Wizards
Jimmy Butler,Miami Heat
Matas Buzelis,Chicago Bulls
Jamal Cain,New Orleans Pelicans
